AKUN/DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP)
612203106/BIAYA LAYANAN PESERTA,12/05/2020,PEMBELIAN PULSA LAYANAN,124000
612408103/PEMELIHARAAN/PERBAIKAN KENDARAAAN,08/05/2020,(SAMBUNGAN CHARGER) CAR LIGHTER ,500000
612415103/RETRIBUSI & KEBERSIHAN,08/07/2020,PEMBY. BIAYA KEBERSIHAN KANTOR,300000
612415103/RETRIBUSI & KEBERSIHAN,09/07/2020,DANA BANTUAN KEG. SOSIAL JULI 2020,100000
612415103/RETRIBUSI & KEBERSIHAN,14/07/2020,PEMBY. KEAMANAN & KEBERSIHAN RUMDIN,300000
612403103/RUMAH TANGGA,30/06/2020,PEMB. AQUA GALON,789600
612403103/RUMAH TANGGA,16/07/2020,HOT CUP ,39000
612403103/RUMAH TANGGA,13/07/2020,LAUNDRY TAPLAK MEJA KANTOR,275200
612403103/RUMAH TANGGA,09/07/2020,PEMB. KUE ULTAH KABAN BKPSDM,490000
612403103/RUMAH TANGGA,13/07/2020,KARANGAN BUNGA HUT BPK ANS KOSASIH,1000000
612401102/BEBAN FOTOCOPY,07/07/2020,PEMB. JILID SPIRAL + LAMINATING PKS,12000
612401102/BEBAN FOTOCOPY,14/07/2020,PEMB. PRINT SIMBOLIS A3,10500
612401102/BEBAN FOTOCOPY,15/07/2020,PEMB. FOTOCOPY KEUANGAN,9000
612401102/BEBAN FOTOCOPY,15/07/2020,PEMB. JILID & LAMINATING PKS,24000
612403103/RUMAH TANGGA,17/07/2020,POMPA AIR,95000
612414101/BBM/TOL/PARKIR,18/07/2020,BBM MOBIL DINAS ,240000
612412101/BIAYA JAMUAN KANTOR,16/07/2020,PEMB. JAMUAN TAMU DINAS,240196
612412101/BIAYA JAMUAN KANTOR,16/07/2020,PEMB. JAMUAN TAMU DINAS,55000
612412101/BIAYA JAMUAN KANTOR,14/07/2020,PEMB. JAMUAN TAMU DINAS,181500
612208201/PEMELIHARAAN SOFTWARE/HARDWARE,09/07/2020,PEMB. INSTALASI SOFTWARE KOMPUTER,750000
612208201/PEMELIHARAAN SOFTWARE/HARDWARE,17/07/2020,PEMB. VGA ,70000
612412101/BIAYA JAMUAN KANTOR,20/07/2020,PEMB. JAMUAN INTERNAL,173000
612412101/BIAYA JAMUAN KANTOR,21/07/2020,PEMB. JAMUAN INTERNAL,29600
612412101/BIAYA JAMUAN KANTOR,22/07/2020,PEMB. JAMUAN INTERNAL,121000
612403103/RUMAH TANGGA,17/07/2020,PEMB. 1 DUS KOPI 165 GR,222000
612403103/RUMAH TANGGA,22/07/2020,PEMB. MINYAK 1L,14900
612414101/BBM/TOL/PARKIR,21/07/2020,BBM MOBIL DINAS ,450000
612414101/BBM/TOL/PARKIR,21/07/2020,BBM MOBIL DINAS ,245000
612401102/BEBAN FOTOCOPY,28/07/2020,JILID+LAMINATING LAPORAN PKBL,59000
612401102/BEBAN FOTOCOPY,03/08/2020,PEMB. JILID SPIRAL LAPORAN KEUANGAN,51000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,28/07/2020,BIAYA CETAK BANNER,80000
612203106/BIAYA LAYANAN PESERTA,29/07/2020,PEMBELIAN PULSA LAYANAN,79000
612403103/RUMAH TANGGA,30/07/2020,PEMB. LAUNDRY BENDERA,270000
612403103/RUMAH TANGGA,23/07/2020,PEMB. MATERAI,450000
612403103/RUMAH TANGGA,03/08/2020,PEMB. BENDERA AGUSTUS,200000
612408101/PEMELIHARAAN KANTOR,22/07/2020,PEMB.  OBAT-OBATAN TAMAN,175000
612408101/PEMELIHARAAN KANTOR,25/07/2020,PEMB. LAMPU KANTOR,395000
612408101/PEMELIHARAAN KANTOR,25/07/2020,PEMB. KRAN AIR DAN ASBES,280000
612308102/BEBAN BINA BAPORSENI,23/07/2020,HONOR PENGISI ACARA,600000
612204101/BIAYA CEK KLIM,28/07/2020,PEMB. JAMUAN KANTOR,1030500
612204101/BIAYA CEK KLIM,29/07/2020,PEMB. JAMUAN KANTOR,45500
612201101/BEBAN PROM SOSIALISASI,06/08/2020,JAMUAN SOSIALISASI,300000
612201101/BEBAN PROM SOSIALISASI,06/08/2020,JAMUAN SOSIALISASI,7715000
612412101/BIAYA JAMUAN KANTOR,11/08/2020,PEMB. JAMUAN,138000
612412101/BIAYA JAMUAN KANTOR,12/08/2020,PEMB. JAMUAN,252000
612412101/BIAYA JAMUAN KANTOR,12/08/2020,PEMB. AQUA 330 ML,36500
612412101/BIAYA JAMUAN KANTOR,12/08/2020,PEMB. JAMUAN,184800
612412101/BIAYA JAMUAN KANTOR,13/08/2020,PEMB. JAMUAN,257503
612412101/BIAYA JAMUAN KANTOR,14/08/2020,PEMB. JAMUAN,144000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,12/08/2020,PEMB. PUBLIKASI RADAR ,750000
612415103/RETRIBUSI & KEBERSIHAN,12/08/2020,PEMB. RETRIBUSI & KEBERSIHAN RUMAH DINAS,300000
612414101/BBM/TOL/PARKIR,11/08/2020,BBM MOBIL DINAS ,300000
612414101/BBM/TOL/PARKIR,13/08/2020,BBM MOBIL DINAS ,315000
612414101/BBM/TOL/PARKIR,13/08/2020,TOL SENTUL BARAT MOBIL DINAS ,10000
612414101/BBM/TOL/PARKIR,13/08/2020,TOL BOGOR 2 MOBIL DINAS ,7000
612412101/BIAYA JAMUAN KANTOR,15/08/2020,PEMB. JAMUAN,200000
612412101/BIAYA JAMUAN KANTOR,18/08/2020,PEMB. JAMUAN,280000
612412101/BIAYA JAMUAN KANTOR,19/08/2020,PEMB. JAMUAN,165000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,25/08/2020,PRINT A2 SIMBOLIS,90000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,25/08/2020,PRINT A3 STICKER LOGO TASPEN ,80000
612413102/BEBAN PERAYAAN,15/08/2020,PEMB. BENDERA & HIASAN 17 AGUSTUS,810000
612203106/BIAYA LAYANAN PESERTA,18/08/2020,PEMBELIAN PULSA MODEM LAYANAN,102000
612403103/RUMAH TANGGA,18/08/2020,PEMB. MATERAI,150000
612403103/RUMAH TANGGA,19/08/2020,PEMB. GAS 12KG,145000
612403103/RUMAH TANGGA,13/08/2020,PEMB. AIR MINUM,720000
612408101/ PEMELIHARAAN KANTOR,22/08/2020,PEMB. ALAT-ALAT LISTRIK DOSIR,717000
612408101/ PEMELIHARAAN KANTOR,24/08/2020,PEMB. OBAT-OBATAN P3K,100000
612414101/BBM/TOL/PARKIR,19/08/2020,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,19/08/2020,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,19/08/2020,BBM MOBIL DINAS ,350010
612414101/BBM/TOL/PARKIR,25/08/2020,BBM MOBIL DINAS,340000
612414101/BBM/TOL/PARKIR,19/08/2020,BBM MOTOR,25000
612414101/BBM/TOL/PARKIR,19/08/2020,BBM MOTOR  ,25000
612201102/BIAYA PUBLIKASI & DOKUMENTASI,24/08/2020,PUBLIKASI RADAR BOGOR,500000
612403103/RUMAH TANGGA,05/08/2020,PEMB. MASKER MERAH PUTIH,864000
612203106/BEBAN DATA LAYANAN PESERTA,26/08/2020,PEMB. PENCETAKAN SPTB TAHUN 2020,
612412101/BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN,225000
612412101/BIAYA JAMUAN KANTOR,01/09/2020,PEMB. JAMUAN AUDIT SPI,371000
612412101/BIAYA JAMUAN KANTOR,03/09/2020,PEMB. JAMUAN AUDIT SPI,194000
612412101/BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN AUDIT SPI,210500
612412101/BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN RAPAT INTERNAL,240000
612412101/BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN,272000
612403103/RUMAH TANGGA,03/09/2020,PEMB. CONTINUES FORM,300000
612403103/RUMAH TANGGA,02/09/2020,PEMB. TEMPAT SABUN WASTAFEL DEPAN,58300
612401102/BEBAN FOTOCOPY,03/09/2020,PEMB. JILID SPIRAL LAPORAN KEUANGAN,42000
612401102/BEBAN FOTOCOPY,03/09/2020,PEMB. JILID SPIRAL LAPORAN PKBL,42000
612412101/BIAYA JAMUAN KANTOR,08/09/2020,PEMB. JAMUAN AUDIT SPI,236000
612412101/BIAYA JAMUAN KANTOR,09/09/2020,PEMB. JAMUAN RAPAT INTERNAL,146000
612412101/BIAYA JAMUAN KANTOR,09/09/2020,PEMB. JAMUAN RAPAT INTERNAL,491000
612412101/BIAYA JAMUAN KANTOR,10/09/2020,PEMB. JAMUAN RAPAT INTERNAL,535500
612412101/BIAYA JAMUAN KANTOR,10/09/2020,PEMB. KUE ULTAH PAK SEKDA,380000
612412101/BIAYA JAMUAN KANTOR,10/09/2020,PEMB. JAMUAN AUDIT SPI,162000
612201102/BEBAN PUBLIKASI & DOKUMENTASI,08/08/2020,PEMB. PUBLIKASI RADAR BOGOR,700000
612403103/RUMAH TANGGA,09/09/2020,PEMB. MATERAI,450000
612414101/BBM/TOL/PARKIR,09/09/2020,PEMBELIAN BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS ,300000
612414101/BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS ,293000
612414101/BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS ,340000
612414101/BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,09/09/2020,PEMBELIAN BBM MOTOR DINAS  ,25000
612412101/BIAYA JAMUAN KANTOR,13/09/2020,PEMB. JAMUAN OLEH-OLEH TAMU DINAS,135500
612412101/BIAYA JAMUAN KANTOR,13/09/2020,PEMB. JAMUAN OLEH-OLEH TAMU DINAS,316000
612412101/BIAYA JAMUAN KANTOR,14/09/2020,PEMB. JAMUAN RAPAT INTERNAL PRA AUDIT,68500
612412101/BIAYA JAMUAN KANTOR,14/09/2020,PEMB. JAMUAN RAPAT INTERNAL PRA AUDIT,255000
612412101/BIAYA JAMUAN KANTOR,14/09/2020,PEMB. JAMUAN AUDIT SPI,240000
612403103/RUMAH TANGGA,14/09/2020,"PEMB. KOPI, GULA, TEH",445750
612408101/ PEMELIHARAAN KANTOR,14/09/2020,PEMB. ALAT KEBERSIHAN KANTOR,1655550
612408101/ PEMELIHARAAN KANTOR,14/09/2020,PEMB. PERL. KEBERSIHAN KANTOR,192000
612414101/BBM/TOL/PARKIR,11/09/2020,PEMBELIAN BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,14/09/2020,PEMBELIAN BBM MOBIL DINAS ,450000
612414101/BBM/TOL/PARKIR,14/09/2020,PEMBELIAN BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,15/09/2020,PEMBELIAN BBM MOBIL DINAS ,240000
612412101/BIAYA JAMUAN KANTOR,20/09/2020,PEMB. JAMUAN OLEH-OLEH TAMU DINAS,450000
612412101/BIAYA JAMUAN KANTOR,19/09/2020,PEMB. JAMUAN INTERNAL,200000
612412101/BIAYA JAMUAN KANTOR,18/09/2020,PEMB. JAMUAN INTERNAL,360000
612412101/BIAYA JAMUAN KANTOR,21/09/2020,PEMB. JAMUAN RAPAT INTERNAL,220000
612412101/BIAYA JAMUAN KANTOR,21/09/2020,PEMB. JAMUAN RAPAT INTERNAL,266000
612412101/BIAYA JAMUAN KANTOR,16/09/2020,PEMB. JAMUAN INTERNAL,22000
612412101/BIAYA JAMUAN KANTOR,16/09/2020,PEMB. JAMUAN INTERNAL,280000
612414101/BBM/TOL/PARKIR,21/09/2020,BBM MOBIL DINAS ,240000
612414101/BBM/TOL/PARKIR,17/09/2020,BBM MOBIL DINAS,200000
612203106/BIAYA LAYANAN PESERTA,17/09/2020,PEMBELIAN PULSA MODEM LAYANAN,102000
612412101/BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,108000
612412101/BIAYA JAMUAN KANTOR,23/09/2020,JAMUAN INTERNAL,120000
612412101/BIAYA JAMUAN KANTOR,24/09/2020,AIR MINUM MOBIL DINAS BM,36500
612412101/BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,196000
612412101/BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,132000
612412101/BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,80000
612412101/BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN INTERNAL,80000
612412101/BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN INTERNAL,169000
612412101/BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN RAPAT INTERNAL,155000
612412101/BIAYA JAMUAN KANTOR,25/09/2020,JAMUAN RAPAT INTERNAL,281600
612412101/BIAYA JAMUAN KANTOR,23/09/2020,JAMUAN INTERNAL,138500
612412101/BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN BM,59200
612412101/BIAYA JAMUAN KANTOR,25/09/2020,JAMUAN INTERNAL,126000
612403103/RUMAH TANGGA,22/09/2020,TISSUE MIC KEGATAN,50000
612403103/RUMAH TANGGA,13/09/2020,RANGKAIAN CAKE & BUNGA ULTAH BPK PATAR SITANGGANG,1500000
612403103/RUMAH TANGGA,25/09/2020,KARANGAN BUNGA DUKA CITA BPK YANWAR PERMADI,500000
612408101/ PEMELIHARAAN KANTOR,22/09/2020,KOMPONEN MESIN RUMPUT (DENZO),28000
612201102/BEBAN PUBLIKASI & DOKUMENTASI,22/09/2020,BANNER ,105000
612414101/BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS,250000
612414101/BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS,400000
612414101/BBM/TOL/PARKIR,25/09/2020,BBM MOBIL DINAS ,285000
612414101/BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS ,200000
612414101/BBM/TOL/PARKIR,23/09/2020,BBM MOTOR DINAS,30000
612414101/BBM/TOL/PARKIR,25/09/2020,BBM MOTOR  DINAS ,30000
612308102/BEBAN BINA BAPORSENI,22/09/2020,BANTUAN TASPEN KPD KOMUNITAS MUSISI CAFE & RESTO BOGOR,1000000
612412101/BIAYA JAMUAN KANTOR,01/10/2020,JAMUAN INTERNAL,900000
612412101/BIAYA JAMUAN KANTOR,25/09/2020,JAMUAN INTERNAL,700000
612412101/BIAYA JAMUAN KANTOR,28/09/2020,JAMUAN INTERNAL,189000
612412101/BIAYA JAMUAN KANTOR,02/10/2020,JAMUAN INTERNAL,700000
612412101/BIAYA JAMUAN KANTOR,28/09/2020,JAMUAN TAMU DINAS,290000
612403103/RUMAH TANGGA,01/10/2020,GELAS CUP KERTAS,97500
612203106/BIAYA LAYANAN PESERTA,29/09/2020,AIR MINUM PESERTA,720000
612412101/BIAYA JAMUAN KANTOR,06/10/2020,JAMUAN RAPAT INTERNAL,155000
612412101/BIAYA JAMUAN KANTOR,05/10/2020,JAMUAN INTERNAL,320000
612412101/BIAYA JAMUAN KANTOR,28/09/2020,JAMUAN INTERNAL,450000
612412101/BIAYA JAMUAN KANTOR,28/09/2020,JAMUAN INTERNAL BM,195100
612412101/BIAYA JAMUAN KANTOR,07/10/2020,JAMUAN INTERNAL,165000
612403103/RUMAH TANGGA,02/10/2020,KARANGAN BUNGA PERPISAHAN P. SEKDA ADE SARIEF HIDAYAT,525000
612403103/RUMAH TANGGA,02/10/2020,BUNGA PAPAN PERNIKAHAN,750550
612403103/RUMAH TANGGA,02/10/2020,MASKER KARYAWAN,660000
612401102/BEBAN FOTOCOPY,05/06/2020,PEMB. JILID SPIRAL & LAMINATING LAPORAN KEUANGAN,84000
612414101/BBM/TOL/PARKIR,02/10/2020,BBM MOBIL DINAS ,200000
612414101/BBM/TOL/PARKIR,06/10/2020,BBM MOBIL DINAS ,285000
612414101/BBM/TOL/PARKIR,07/10/2020,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,07/10/2020,BBM MOBIL DINAS ,300000
612414101/BBM/TOL/PARKIR,07/10/2020,BBM MOBIL DINAS,300000
612414101/BBM/TOL/PARKIR,07/10/2020,BBM MOBIL DINAS ,350000
612414101/BBM/TOL/PARKIR,07/10/2020,BBM MOBIL DINAS,350000
612412101/BIAYA JAMUAN KANTOR,01/10/2020,JAMUAN INTERNAL KANTOR,160000
612412101/BIAYA JAMUAN KANTOR,02/10/2020,JAMUAN INTERNAL KANTOR,110000
612412101/BIAYA JAMUAN KANTOR,07/10/2020,JAMUAN EKSTERNAL,385000
612412101/BIAYA JAMUAN KANTOR,08/10/2020,JAMUAN INTERNAL KANTOR,112000
612412101/BIAYA JAMUAN KANTOR,07/10/2020,JAMUAN INTERNAL KANTOR,166000
612412101/BIAYA JAMUAN KANTOR,08/10/2020,JAMUAN EKSTERNAL,152500
612412101/BIAYA JAMUAN KANTOR,10/10/2020,JAMUAN TAMU DINAS,550000
612412101/BIAYA JAMUAN KANTOR,12/10/2020,JAMUAN INTERNAL,450000
