AKUN,DESKRIPSI,TANGGAL,DESKRIPSI KEGIATAN,REALISASI (RP),BULAN,TAHUN,Normalisasi,Klaster
612403103,RUMAH TANGGA,12/06/2020,PEMB. POHON PALAM & POT,240000,6,2020,0.007992,0
612412101,BIAYA JAMUAN KANTOR,08/06/2020,PEMB. JAMUAN,228000,6,2020,0.007588,0
612412101,BIAYA JAMUAN KANTOR,08/06/2020,PEMB. JAMUAN,150000,6,2020,0.004963,0
612414101,BBM/TOL/PARKIR,06/05/2020,PEMB. TOL MOBIL DINAS,7000,5,2020,0.000151,0
612414101,BBM/TOL/PARKIR,19/05/2020,PEMB. TOL MOBIL DINAS,10000,5,2020,0.000252,0
612414101,BBM/TOL/PARKIR,11/06/2020,PEMB. BBM MOBIL DINAS,400000,6,2020,0.013376,0
612414101,BBM/TOL/PARKIR,10/06/2020,PEMB. BBM MOBIL DINAS,365000,6,2020,0.012198,0
612414101,BBM/TOL/PARKIR,10/06/2020,PEMB. BBM MOTOR DINAS,20000,6,2020,0.000589,0
612414101,BBM/TOL/PARKIR,11/06/2020,PEMB. TOL MOBIL DINAS,7000,6,2020,0.000151,0
612414101,BBM/TOL/PARKIR,11/06/2020,PEMB. TOL MOBIL DINAS,12000,6,2020,0.00032,0
612203106,BIAYA LAYANAN PESERTA,10/06/2020,PEMBELIAN PULSA LAYANAN,123000,6,2020,0.004055,0
612403101,"TELPON,INTERNET,FASIMILI",11/06/2020,PEMBELIAN PULSA KEUANGAN,62000,6,2020,0.002002,0
612201102,BEBAN PUBLIKASI & DOKUMENTASI,11/06/2020,PEMB. PUBLIKASI RADAR BOGOR,750000,6,2020,0.025154,0
612401102,BEBAN FOTOCOPY,08/06/2020,LAMINATING & JILID SPIRAL KAWAT,144000,6,2020,0.004762,0
612401102,BEBAN FOTOCOPY,12/06/2020,LAMINATING & JILID SPIRAL KAWAT,26000,6,2020,0.000791,0
612414101,BBM/TOL/PARKIR,17/06/2020,TOL  BOGOR 2,7000,6,2020,0.000151,0
612414101,BBM/TOL/PARKIR,17/06/2020,TOL CILILITAN,10000,6,2020,0.000252,0
612403101,"TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",15/06/2020,PEMB PDAM,172400,6,2020,0.005717,0
612403101,"TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",05/06/2020,PEMB TCC APRIL,95200,6,2020,0.003119,0
612403101,"TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",05/06/2020,PEMB TCC MEI,101600,6,2020,0.003335,0
612403103,RUMAH TANGGA,31/05/2020,PEMB. GALON AQUA,394800,5,2020,0.013201,0
612203106,BIAYA LAYANAN PESERTA,24/06/2020,PEMBELIAN PULSA LAYANAN,85000,6,2020,0.002776,0
612203106,BIAYA LAYANAN PESERTA,24/06/2020,PEMBELIAN PULSA LAYANAN,100000,6,2020,0.003281,0
612412101,BIAYA JAMUAN KANTOR,19/06/2020,JAMUAN,46000,6,2020,0.001464,0
612412101,BIAYA JAMUAN KANTOR,23/06/2020,JAMUAN,116000,6,2020,0.003819,0
612412101,BIAYA JAMUAN KANTOR,24/06/2020,JAMUAN ,199000,6,2020,0.006612,0
612412101,BIAYA JAMUAN KANTOR,24/06/2020,JAMUAN TAMU DINAS,75000,6,2020,0.00244,0
612412101,BIAYA JAMUAN KANTOR,24/06/2020,JAMUAN TAMU DINAS,204000,6,2020,0.006781,0
612403103,RUMAH TANGGA,26/06/2020,KABEL HDMI TO HDMI 15 M,225000,6,2020,0.007487,0
612414101,BBM/TOL/PARKIR,29/06/2020,BBM MOBIL DINA,300000,6,2020,0.010011,0
612414101,BBM/TOL/PARKIR,29/06/2020,BBM MOBIL DINAS ,209000,6,2020,0.006949,0
612414101,BBM/TOL/PARKIR,29/06/2020,BBM MOTOR DINAS,30000,6,2020,0.000925,0
612412101,BIAYA JAMUAN KANTOR,19/06/2020,JAMUAN,495000,6,2020,0.016573,0
811010108,BEBAN TANGGAP DARURAT,19/06/2020,RAPID TEST KC BOGOR,1250000,6,2020,0.041979,0
612412101,BIAYA JAMUAN KANTOR,01/07/2020,JAMUAN,127000,7,2020,0.004189,0
612412101,BIAYA JAMUAN KANTOR,01/07/2020,JAMUAN,40000,7,2020,0.001262,0
612412101,BIAYA JAMUAN KANTOR,02/07/2020,JAMUAN,150000,7,2020,0.004963,0
612401102,BEBAN FOTOCOPY,02/07/2020,JILID SPIRAL & LAMINATING PKBL,13000,7,2020,0.000353,0
612401102,BEBAN FOTOCOPY,02/07/2020,JILID SPIRAL & LAMINATING LAP. KEU,39000,7,2020,0.001228,0
612403103,RUMAH TANGGA,23/06/2020,KARANGA N BUNGA DUKA CITA,650000,6,2020,0.021789,0
612403103,RUMAH TANGGA,01/07/2020,KABEL KONEKTOR & LAN TESTER,85000,7,2020,0.002776,0
612403103,RUMAH TANGGA,01/07/2020,KABEL POWER 2X1.5 MM,96000,7,2020,0.003146,0
612403103,RUMAH TANGGA,06/07/2020,BIAYA PENGANGKUTAN,150000,7,2020,0.004963,0
612403103,RUMAH TANGGA,06/07/2020,AQUA 330 ML,36500,7,2020,0.001144,0
612414101,BBM/TOL/PARKIR,02/07/2020,BBM MOBIL DINAS ,350000,7,2020,0.011693,0
612414101,BBM/TOL/PARKIR,01/07/2020,BBM MOBIL DINAS ,240000,7,2020,0.007992,0
612408103,PEMELIHARAAN/PERBAIKAN KENDARAAAN,06/07/2020,CARFIT CARMAT  MOBIL DINAS,439900,7,2020,0.014719,0
612308102,BEBAN BINA BAPORSENI,08/07/2020,HONOR INSTRUKTUR SENAM,300000,7,2020,0.010011,0
612308102,BEBAN BINA BAPORSENI,09/07/2020,HONOR INSTRUKTUR SENAM,300000,7,2020,0.010011,0
612308102,BEBAN BINA BAPORSENI,10/07/2020,HONOR INSTRUKTUR SENAM,300000,7,2020,0.010011,0
221100107,PPH 21 WAPU PIHAK 3,08/07/2020,UTG PPH 21 WAPU PIHAK 3,9000,7,2020,0.000219,0
221100107,PPH 21 WAPU PIHAK 4,09/07/2020,UTG PPH 21 WAPU PIHAK 3,9000,7,2020,0.000219,0
221100107,PPH 21 WAPU PIHAK 5,10/07/2020,UTG PPH 21 WAPU PIHAK 3,9000,7,2020,0.000219,0
612412101,BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,68500,7,2020,0.002221,0
612412101,BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,139000,7,2020,0.004593,0
612412101,BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,215000,7,2020,0.007151,0
612412101,BIAYA JAMUAN KANTOR,08/07/2020,PEMB. JAMUAN TAMU DINAS,470500,7,2020,0.015748,0
612403101,"TELEPON/INTERNET/FASIMILI,AIR, LISTRIK & GAS",14/07/2020,PEMBY. TAGIHAN TELP ,80522,7,2020,0.002625,0
612408103,PEMELIHARAAN/PERBAIKAN KENDARAAAN,08/05/2020,(SAMBUNGAN CHARGER) CAR LIGHTER ,500000,5,2020,0.016741,0
612415103,RETRIBUSI & KEBERSIHAN,09/07/2020,DANA BANTUAN KEG. SOSIAL JULI 2020,100000,7,2020,0.003281,0
612415103,RETRIBUSI & KEBERSIHAN,14/07/2020,PEMBY. KEAMANAN & KEBERSIHAN RUMDIN,300000,7,2020,0.010011,0
612403103,RUMAH TANGGA,30/06/2020,PEMB. AQUA GALON,789600,6,2020,0.026486,0
612403103,RUMAH TANGGA,16/07/2020,HOT CUP ,39000,7,2020,0.001228,0
612403103,RUMAH TANGGA,13/07/2020,LAUNDRY TAPLAK MEJA KANTOR,275200,7,2020,0.009176,0
612403103,RUMAH TANGGA,09/07/2020,PEMB. KUE ULTAH KABAN BKPSDM,490000,7,2020,0.016404,0
612403103,RUMAH TANGGA,13/07/2020,KARANGAN BUNGA HUT BPK ANS KOSASIH,1000000,7,2020,0.033566,0
612401102,BEBAN FOTOCOPY,07/07/2020,PEMB. JILID SPIRAL + LAMINATING PKS,12000,7,2020,0.00032,0
612401102,BEBAN FOTOCOPY,14/07/2020,PEMB. PRINT SIMBOLIS A3,10500,7,2020,0.000269,0
612401102,BEBAN FOTOCOPY,15/07/2020,PEMB. FOTOCOPY KEUANGAN,9000,7,2020,0.000219,0
612401102,BEBAN FOTOCOPY,15/07/2020,PEMB. JILID & LAMINATING PKS,24000,7,2020,0.000723,0
612403103,RUMAH TANGGA,17/07/2020,POMPA AIR,95000,7,2020,0.003113,0
612414101,BBM/TOL/PARKIR,18/07/2020,BBM MOBIL DINAS ,240000,7,2020,0.007992,0
612412101,BIAYA JAMUAN KANTOR,16/07/2020,PEMB. JAMUAN TAMU DINAS,240196,7,2020,0.007999,0
612412101,BIAYA JAMUAN KANTOR,16/07/2020,PEMB. JAMUAN TAMU DINAS,55000,7,2020,0.001767,0
612412101,BIAYA JAMUAN KANTOR,14/07/2020,PEMB. JAMUAN TAMU DINAS,181500,7,2020,0.006023,0
612208201,PEMELIHARAAN SOFTWARE/HARDWARE,09/07/2020,PEMB. INSTALASI SOFTWARE KOMPUTER,750000,7,2020,0.025154,0
612208201,PEMELIHARAAN SOFTWARE/HARDWARE,17/07/2020,PEMB. VGA ,70000,7,2020,0.002271,0
612412101,BIAYA JAMUAN KANTOR,20/07/2020,PEMB. JAMUAN INTERNAL,173000,7,2020,0.005737,0
612412101,BIAYA JAMUAN KANTOR,21/07/2020,PEMB. JAMUAN INTERNAL,29600,7,2020,0.000912,0
612412101,BIAYA JAMUAN KANTOR,22/07/2020,PEMB. JAMUAN INTERNAL,121000,7,2020,0.003988,0
612403103,RUMAH TANGGA,17/07/2020,PEMB. 1 DUS KOPI 165 GR,222000,7,2020,0.007386,0
612403103,RUMAH TANGGA,22/07/2020,PEMB. MINYAK 1L,14900,7,2020,0.000417,0
612414101,BBM/TOL/PARKIR,21/07/2020,BBM MOBIL DINAS ,450000,7,2020,0.015058,0
612414101,BBM/TOL/PARKIR,21/07/2020,BBM MOBIL DINAS ,245000,7,2020,0.00816,0
612401102,BEBAN FOTOCOPY,28/07/2020,JILID+LAMINATING LAPORAN PKBL,59000,7,2020,0.001901,0
612401102,BEBAN FOTOCOPY,03/08/2020,PEMB. JILID SPIRAL LAPORAN KEUANGAN,51000,8,2020,0.001632,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,28/07/2020,BIAYA CETAK BANNER,80000,7,2020,0.002608,0
612203106,BIAYA LAYANAN PESERTA,29/07/2020,PEMBELIAN PULSA LAYANAN,79000,7,2020,0.002574,0
612403103,RUMAH TANGGA,30/07/2020,PEMB. LAUNDRY BENDERA,270000,7,2020,0.009001,0
612403103,RUMAH TANGGA,23/07/2020,PEMB. MATERAI,450000,7,2020,0.015058,0
612403103,RUMAH TANGGA,03/08/2020,PEMB. BENDERA AGUSTUS,200000,8,2020,0.006646,0
612408101,PEMELIHARAAN KANTOR,22/07/2020,PEMB.  OBAT-OBATAN TAMAN,175000,7,2020,0.005805,0
612408101,PEMELIHARAAN KANTOR,25/07/2020,PEMB. LAMPU KANTOR,395000,7,2020,0.013208,0
612408101,PEMELIHARAAN KANTOR,25/07/2020,PEMB. KRAN AIR DAN ASBES,280000,7,2020,0.009338,0
612308102,BEBAN BINA BAPORSENI,23/07/2020,HONOR PENGISI ACARA,600000,7,2020,0.020106,0
612204101,BIAYA CEK KLIM,28/07/2020,PEMB. JAMUAN KANTOR,1030500,7,2020,0.034592,0
612204101,BIAYA CEK KLIM,29/07/2020,PEMB. JAMUAN KANTOR,45500,7,2020,0.001447,0
612201101,BEBAN PROM SOSIALISASI,06/08/2020,JAMUAN SOSIALISASI,300000,8,2020,0.010011,0
612201101,BEBAN PROM SOSIALISASI,06/08/2020,JAMUAN SOSIALISASI,7715000,8,2020,0.259527,0
612412101,BIAYA JAMUAN KANTOR,11/08/2020,PEMB. JAMUAN,138000,8,2020,0.00456,0
612412101,BIAYA JAMUAN KANTOR,12/08/2020,PEMB. JAMUAN,252000,8,2020,0.008396,0
612412101,BIAYA JAMUAN KANTOR,12/08/2020,PEMB. AQUA 330 ML,36500,8,2020,0.001144,0
612412101,BIAYA JAMUAN KANTOR,12/08/2020,PEMB. JAMUAN,184800,8,2020,0.006134,0
612412101,BIAYA JAMUAN KANTOR,13/08/2020,PEMB. JAMUAN,257503,8,2020,0.008581,0
612412101,BIAYA JAMUAN KANTOR,14/08/2020,PEMB. JAMUAN,144000,8,2020,0.004762,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,12/08/2020,PEMB. PUBLIKASI RADAR ,750000,8,2020,0.025154,0
612415103,RETRIBUSI & KEBERSIHAN,12/08/2020,PEMB. RETRIBUSI & KEBERSIHAN RUMAH DINAS,300000,8,2020,0.010011,0
612414101,BBM/TOL/PARKIR,11/08/2020,BBM MOBIL DINAS ,300000,8,2020,0.010011,0
612414101,BBM/TOL/PARKIR,13/08/2020,BBM MOBIL DINAS ,315000,8,2020,0.010516,0
612414101,BBM/TOL/PARKIR,13/08/2020,TOL SENTUL BARAT MOBIL DINAS ,10000,8,2020,0.000252,0
612414101,BBM/TOL/PARKIR,13/08/2020,TOL BOGOR 2 MOBIL DINAS ,7000,8,2020,0.000151,0
612412101,BIAYA JAMUAN KANTOR,15/08/2020,PEMB. JAMUAN,200000,8,2020,0.006646,0
612412101,BIAYA JAMUAN KANTOR,18/08/2020,PEMB. JAMUAN,280000,8,2020,0.009338,0
612412101,BIAYA JAMUAN KANTOR,19/08/2020,PEMB. JAMUAN,165000,8,2020,0.005468,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,25/08/2020,PRINT A2 SIMBOLIS,90000,8,2020,0.002944,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,25/08/2020,PRINT A3 STICKER LOGO TASPEN ,80000,8,2020,0.002608,0
612413102,BEBAN PERAYAAN,15/08/2020,PEMB. BENDERA & HIASAN 17 AGUSTUS,810000,8,2020,0.027173,0
612203106,BIAYA LAYANAN PESERTA,18/08/2020,PEMBELIAN PULSA MODEM LAYANAN,102000,8,2020,0.003348,0
612403103,RUMAH TANGGA,18/08/2020,PEMB. MATERAI,150000,8,2020,0.004963,0
612403103,RUMAH TANGGA,19/08/2020,PEMB. GAS 12KG,145000,8,2020,0.004795,0
612403103,RUMAH TANGGA,13/08/2020,PEMB. AIR MINUM,720000,8,2020,0.024144,0
612408101,PEMELIHARAAN KANTOR,22/08/2020,PEMB. ALAT-ALAT LISTRIK DOSIR,717000,8,2020,0.024043,0
612408101,PEMELIHARAAN KANTOR,24/08/2020,PEMB. OBAT-OBATAN P3K,100000,8,2020,0.003281,0
612414101,BBM/TOL/PARKIR,19/08/2020,BBM MOBIL DINAS,300000,8,2020,0.010011,0
612414101,BBM/TOL/PARKIR,19/08/2020,BBM MOBIL DINAS ,350010,8,2020,0.011694,0
612414101,BBM/TOL/PARKIR,25/08/2020,BBM MOBIL DINAS,340000,8,2020,0.011357,0
612414101,BBM/TOL/PARKIR,19/08/2020,BBM MOTOR,25000,8,2020,0.000757,0
612201102,BIAYA PUBLIKASI & DOKUMENTASI,24/08/2020,PUBLIKASI RADAR BOGOR,500000,8,2020,0.016741,0
612403103,RUMAH TANGGA,05/08/2020,PEMB. MASKER MERAH PUTIH,864000,8,2020,0.02899,0
612412101,BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN,225000,9,2020,0.007487,1
612412101,BIAYA JAMUAN KANTOR,01/09/2020,PEMB. JAMUAN AUDIT SPI,371000,9,2020,0.0124,1
612412101,BIAYA JAMUAN KANTOR,03/09/2020,PEMB. JAMUAN AUDIT SPI,194000,9,2020,0.006444,1
612412101,BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN AUDIT SPI,210500,9,2020,0.006999,1
612412101,BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN RAPAT INTERNAL,240000,9,2020,0.007992,1
612412101,BIAYA JAMUAN KANTOR,02/09/2020,PEMB. JAMUAN,272000,9,2020,0.009069,1
612403103,RUMAH TANGGA,03/09/2020,PEMB. CONTINUES FORM,300000,9,2020,0.010011,1
612403103,RUMAH TANGGA,02/09/2020,PEMB. TEMPAT SABUN WASTAFEL DEPAN,58300,9,2020,0.001878,1
612401102,BEBAN FOTOCOPY,03/09/2020,PEMB. JILID SPIRAL LAPORAN KEUANGAN,42000,9,2020,0.001329,1
612412101,BIAYA JAMUAN KANTOR,08/09/2020,PEMB. JAMUAN AUDIT SPI,236000,9,2020,0.007857,1
612412101,BIAYA JAMUAN KANTOR,09/09/2020,PEMB. JAMUAN RAPAT INTERNAL,146000,9,2020,0.004829,1
612412101,BIAYA JAMUAN KANTOR,09/09/2020,PEMB. JAMUAN RAPAT INTERNAL,491000,9,2020,0.016438,1
612412101,BIAYA JAMUAN KANTOR,10/09/2020,PEMB. JAMUAN RAPAT INTERNAL,535500,9,2020,0.017936,1
612412101,BIAYA JAMUAN KANTOR,10/09/2020,PEMB. KUE ULTAH PAK SEKDA,380000,9,2020,0.012703,1
612412101,BIAYA JAMUAN KANTOR,10/09/2020,PEMB. JAMUAN AUDIT SPI,162000,9,2020,0.005367,1
612201102,BEBAN PUBLIKASI & DOKUMENTASI,08/08/2020,PEMB. PUBLIKASI RADAR BOGOR,700000,8,2020,0.023471,0
612403103,RUMAH TANGGA,09/09/2020,PEMB. MATERAI,450000,9,2020,0.015058,1
612414101,BBM/TOL/PARKIR,09/09/2020,PEMBELIAN BBM MOBIL DINAS,300000,9,2020,0.010011,1
612414101,BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS ,300000,9,2020,0.010011,1
612414101,BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS ,293000,9,2020,0.009775,1
612414101,BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS ,340000,9,2020,0.011357,1
612414101,BBM/TOL/PARKIR,10/09/2020,PEMBELIAN BBM MOBIL DINAS,400000,9,2020,0.013376,1
612414101,BBM/TOL/PARKIR,09/09/2020,PEMBELIAN BBM MOTOR DINAS  ,25000,9,2020,0.000757,1
612412101,BIAYA JAMUAN KANTOR,13/09/2020,PEMB. JAMUAN OLEH-OLEH TAMU DINAS,135500,9,2020,0.004475,1
612412101,BIAYA JAMUAN KANTOR,13/09/2020,PEMB. JAMUAN OLEH-OLEH TAMU DINAS,316000,9,2020,0.010549,1
612412101,BIAYA JAMUAN KANTOR,14/09/2020,PEMB. JAMUAN RAPAT INTERNAL PRA AUDIT,68500,9,2020,0.002221,1
612412101,BIAYA JAMUAN KANTOR,14/09/2020,PEMB. JAMUAN RAPAT INTERNAL PRA AUDIT,255000,9,2020,0.008497,1
612412101,BIAYA JAMUAN KANTOR,14/09/2020,PEMB. JAMUAN AUDIT SPI,240000,9,2020,0.007992,1
612403103,RUMAH TANGGA,14/09/2020,"PEMB. KOPI, GULA, TEH",445750,9,2020,0.014915,1
612408101,PEMELIHARAAN KANTOR,14/09/2020,PEMB. ALAT KEBERSIHAN KANTOR,1655550,9,2020,0.055625,1
612408101,PEMELIHARAAN KANTOR,14/09/2020,PEMB. PERL. KEBERSIHAN KANTOR,192000,9,2020,0.006377,1
612414101,BBM/TOL/PARKIR,11/09/2020,PEMBELIAN BBM MOBIL DINAS,300000,9,2020,0.010011,1
612414101,BBM/TOL/PARKIR,14/09/2020,PEMBELIAN BBM MOBIL DINAS ,450000,9,2020,0.015058,1
612414101,BBM/TOL/PARKIR,14/09/2020,PEMBELIAN BBM MOBIL DINAS,300000,9,2020,0.010011,1
612414101,BBM/TOL/PARKIR,15/09/2020,PEMBELIAN BBM MOBIL DINAS ,240000,9,2020,0.007992,1
612412101,BIAYA JAMUAN KANTOR,20/09/2020,PEMB. JAMUAN OLEH-OLEH TAMU DINAS,450000,9,2020,0.015058,1
612412101,BIAYA JAMUAN KANTOR,19/09/2020,PEMB. JAMUAN INTERNAL,200000,9,2020,0.006646,1
612412101,BIAYA JAMUAN KANTOR,18/09/2020,PEMB. JAMUAN INTERNAL,360000,9,2020,0.01203,1
612412101,BIAYA JAMUAN KANTOR,21/09/2020,PEMB. JAMUAN RAPAT INTERNAL,220000,9,2020,0.007319,1
612412101,BIAYA JAMUAN KANTOR,21/09/2020,PEMB. JAMUAN RAPAT INTERNAL,266000,9,2020,0.008867,1
612412101,BIAYA JAMUAN KANTOR,16/09/2020,PEMB. JAMUAN INTERNAL,22000,9,2020,0.000656,1
612412101,BIAYA JAMUAN KANTOR,16/09/2020,PEMB. JAMUAN INTERNAL,280000,9,2020,0.009338,1
612414101,BBM/TOL/PARKIR,21/09/2020,BBM MOBIL DINAS ,240000,9,2020,0.007992,1
612414101,BBM/TOL/PARKIR,17/09/2020,BBM MOBIL DINAS,200000,9,2020,0.006646,1
612203106,BIAYA LAYANAN PESERTA,17/09/2020,PEMBELIAN PULSA MODEM LAYANAN,102000,9,2020,0.003348,1
612412101,BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,108000,9,2020,0.00355,1
612412101,BIAYA JAMUAN KANTOR,23/09/2020,JAMUAN INTERNAL,120000,9,2020,0.003954,1
612412101,BIAYA JAMUAN KANTOR,24/09/2020,AIR MINUM MOBIL DINAS BM,36500,9,2020,0.001144,1
612412101,BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,196000,9,2020,0.006511,1
612412101,BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,132000,9,2020,0.004358,1
612412101,BIAYA JAMUAN KANTOR,22/09/2020,JAMUAN INTERNAL,80000,9,2020,0.002608,1
612412101,BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN INTERNAL,80000,9,2020,0.002608,1
612412101,BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN INTERNAL,169000,9,2020,0.005603,1
612412101,BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN RAPAT INTERNAL,155000,9,2020,0.005132,1
612412101,BIAYA JAMUAN KANTOR,25/09/2020,JAMUAN RAPAT INTERNAL,281600,9,2020,0.009392,1
612412101,BIAYA JAMUAN KANTOR,23/09/2020,JAMUAN INTERNAL,138500,9,2020,0.004576,1
612412101,BIAYA JAMUAN KANTOR,24/09/2020,JAMUAN BM,59200,9,2020,0.001908,1
612412101,BIAYA JAMUAN KANTOR,25/09/2020,JAMUAN INTERNAL,126000,9,2020,0.004156,1
612403103,RUMAH TANGGA,22/09/2020,TISSUE MIC KEGATAN,50000,9,2020,0.001598,1
612403103,RUMAH TANGGA,13/09/2020,RANGKAIAN CAKE & BUNGA ULTAH BPK PATAR SITANGGANG,1500000,9,2020,0.050391,1
612403103,RUMAH TANGGA,25/09/2020,KARANGAN BUNGA DUKA CITA BPK YANWAR PERMADI,500000,9,2020,0.016741,1
612408101,PEMELIHARAAN KANTOR,22/09/2020,KOMPONEN MESIN RUMPUT (DENZO),28000,9,2020,0.000858,1
612201102,BEBAN PUBLIKASI & DOKUMENTASI,22/09/2020,BANNER ,105000,9,2020,0.003449,1
612414101,BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS,250000,9,2020,0.008328,1
612414101,BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS,400000,9,2020,0.013376,1
612414101,BBM/TOL/PARKIR,25/09/2020,BBM MOBIL DINAS ,285000,9,2020,0.009506,1
612414101,BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS,300000,9,2020,0.010011,1
612414101,BBM/TOL/PARKIR,23/09/2020,BBM MOBIL DINAS ,200000,9,2020,0.006646,1
612414101,BBM/TOL/PARKIR,23/09/2020,BBM MOTOR DINAS,30000,9,2020,0.000925,1
